sentence,sentiment,impact,sentiments,impacts,batch,film_title
I highly recommend this. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
And the only “black hole” was the one in Calcutta. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Impersonal Report'],5,The Jupiter Enigma
"This is a great documentary unless you're a Flat Earther and then... it's a big lie perpetrated by scholars going back to the time of Galileo, all the way up to the millions of scientists, astronomers, astrophysicists, astronauts all over the world, NASA engineers, their entire supply chain, and even Donald Trump who established the US Space Force. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Birth of Planet Earth
"Just the right amount of technical data and information about where to go for more in-depth data, if you so desire. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
"Luckily, you can visit the NASA site to see up-to-date pictures of our galaxy in a more detailed format anyone can learn from and enjoy. ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Neutral'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Engagement with Film']",5,Seeing the Beginning of Time
"BE BETTER OFF WATCHING WITH THE SOUND OFF, MAYBE NOT EVEN THEN. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
"Also, the narration is absolutely fine. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time
"Decent, in depth. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
No one yet had “taken a giant step for humankind” by landing on the moon. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Negative'],['Not applicable' 'Not applicable' 'Not applicable'],5,The Jupiter Enigma
Perfect Bedtime Documentary. ,Positive,Engagement with Film,['Positive' 'Negative' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
The narrator spoke as if he were addressing a bunch of third graders. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
Truly amazing. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time
Great beautiful graphics. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
I loved the visualizations. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time
alsome ,Positive,Not applicable,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Not applicable' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
"Oh, I don't know. ",Negative,Not applicable,['Neutral' 'Negative' 'Negative'],['Not applicable' 'Not applicable' 'Not applicable'],5,The Jupiter Enigma
Snoozefest. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
Fascinating subject ruined by ridiculous presentation. ,Negative,Engagement with Film,['Negative' 'Positive' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",5,The Jupiter Enigma
"The more I watched this file, the more I was confused. ",Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Engagement with Film' 'Shift in Knowledge'],5,Seeing the Beginning of Time
Not all that informative though ,Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
Wonderful movie ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
So so documentary about the Joplin tornado ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
I just want to take this opportunity (I realize no one will probably ever read this) to thank Amazon for putting all these wonderful space documentaries up and making them available. ,Positive,Not applicable,['Positive' 'Positive' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],5,The Jupiter Enigma
Yes ,Positive,Not applicable,['Positive' 'Positive' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
informative ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
"The narrator has a soothing, inviting voice. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
"The footage is amazing, it brings Jupiter to life for the first time. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
 Tying story at the beginning and end to a marathon run falls flat. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
I did not learn much new and that is supposed to be the point of a documentary. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],5,SuperTornado: Anatomy of a Megadisaster
What an awesome iMac movie! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk
 The Oklahoma City storm was as bad as this. ,Negative,Not applicable,['Neutral' 'Negative' 'Negative'],['Not applicable' 'Engagement with Film' 'Impersonal Report'],5,SuperTornado: Anatomy of a Megadisaster
"Even if when the movie was created pictures used to depict Space Junk was an image of a broken computer board, or a broken window hatch or anything you could possibly accept as being Space Junk, anything would be better than watching filled in circles orbiting Earth. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk
Interesting ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
Very Informative And Interesting ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
OK. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
More scientific . ,Neutral,Not applicable,['Negative' 'Neutral' 'Neutral'],['Engagement with Film' 'Impersonal Report' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
It's neat learning that we're capturing so much data for further analysis. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Shift in Knowledge'],5,Seeing the Beginning of Time
"good presentation and sort of good effects, worth having to build up a collection, i do like it but the other nasa 3D videos are better ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",5,Space Junk
but they were all small. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
"This documentary is worth watching because it admits all the shortcomings and limitations of our scientific effort, yet engenders curiosity, even fascination in the viewer, which is all we can hope for. ",Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Interest with Science Topic' 'Engagement with Film' 'Shift in Knowledge'],5,Seeing the Beginning of Time
After 5 minutes I gave up. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Birth of Planet Earth
Film well done.!! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
When selecting a narrator for a documentary pick someone that doesn't swallow his words and whisper half the time. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Birth of Planet Earth
Informitive ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
I went to Joplin to support disaster relief. ,Positive,Not applicable,['Positive' 'Neutral' 'Positive'],['Impersonal Report' 'Not applicable' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster
Like how it has some recent (2010s) info on it instead of being ancient :). ,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
"Even on an 82"" screen, the 3D was lacking enough that I checked my glasses several times during the film to make they were still working. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk
but I am not a scientist. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Negative'],['Not applicable' 'Not applicable' 'Not applicable'],5,The Jupiter Enigma
No Science here. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",5,The Jupiter Enigma
"I don't know if I just was not maintaining concentration, or if it truly was too complex. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Solar Superstorms
Damn shame that most will likely not do so after the first 5 minutes of listening to 'doctor deadpan'.drone on. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
The math involved in placing a satellite into a highly elliptical orbit around Jupiter boggles the mind. ,Neutral,Shift in Knowledge,['Positive' 'Negative' 'Neutral'],['Interest with Science Topic' 'Shift in Knowledge' 'Shift in Knowledge'],5,The Jupiter Enigma
"Yet it was done, and now we know such factoids as the electromagnetic field around Jupiter can extend beyond Saturn and that Jupiter has 79 moons, of which the largest four, long viewable to those with a good telescope, include Io, the most volcanically active of any body in the solar system, and Europa, covered with a shiny surface of ice. ",Neutral,Impersonal Report,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Impersonal Report' 'Impersonal Report'],5,The Jupiter Enigma
Very interesting documentary of the phenomena of a tornado. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",5,SuperTornado: Anatomy of a Megadisaster
very  good  documentary in liked  it  very informational ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
 I liked the views of ISS. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk
I now have a greater understanding of the destruction that took my father's life. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],5,SuperTornado: Anatomy of a Megadisaster
This video reveals the cutting edge science gathered by the Juno Mission to Jupiter. ,Positive,TBD,['Positive' 'Positive' 'Positive'],['Impersonal Report' 'Shift in Knowledge' 'Interest with Science Topic'],5,The Jupiter Enigma
Not much to get from this. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Interest with Science Topic' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
I'm a millennial. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],5,The Jupiter Enigma
 Would recommend. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
I gave this 2 stars because they had some facts wrong. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],5,Solar Superstorms
More technical than I thought it would be. ,Neutral,Engagement with Film,['Negative' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],5,SuperTornado: Anatomy of a Megadisaster
 The narrator sounds like his head is bobbing around the microphone so there's a weird fading in and out of the voice over. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
I took off stars because the bloody music was so darned intrusive. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma
"(No lessons learned from the three pigs) why do they not make a tornado ""detector"" from the strong electro-static discharge given off from a tornado? ",Negative,TBD,['Negative' 'Negative' 'Negative'],['Not applicable' 'Interest with Science Topic' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster
_ ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],5,Seeing the Beginning of Time
Very informative. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Education ,Positive,Not applicable,['Neutral' 'Positive' 'Positive'],['Not applicable' 'Not applicable' 'Not applicable'],6,SuperTornado: Anatomy of a Megadisaster
Fantastic. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,Seeing the Beginning of Time
cheep and wanted to see how my new 3D tv worked. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],6,Space Junk
"Lots of fact based information touching on chemistry, electromagnetism, orbital mechanics, cosmology, geology and planetary exploration missions from Voyager to Osiris Rex at about a high school science class level. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Engagement with Film'],6,The Jupiter Enigma
I COULDN'T GET PAST HALFWAY AND STOPPED. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma
 The astrophysics of planet Jupiter is astounding. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",6,The Jupiter Enigma
I don't hear them in any movies. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Positive'],['Impersonal Report' 'Not applicable' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Narration was abysmal. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Old ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],6,SuperTornado: Anatomy of a Megadisaster
It was o.k. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
How the atmosphere our weather can produce one. ,Neutral,Shift in Knowledge,['Positive' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Not applicable' 'Shift in Knowledge'],6,SuperTornado: Anatomy of a Megadisaster
"His greatest fear in life was tornados, but yet he rose above that fear in order to give his life in an effort to save other lives. ",Positive,Not applicable,['Positive' 'Neutral' 'Negative'],['Not applicable' 'Not applicable' 'Not applicable'],6,SuperTornado: Anatomy of a Megadisaster
Anyone living in tornado prone areas should watch this film. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],['Interest with Science Topic' 'Shift in Knowledge' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
monodrone narrative put me to sleep. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Maybe I'll try again since it looked like a good show. ,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
I thought it wad a documentary ,Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"Let's be honest: even though the narrator has such a calming, soothing, voice that she puts me to sleep, this is a wonderful documentary with simply gorgeous visuals. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time
"Thanks to the scientists, and to Light Return Music and to Amazon. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,Seeing the Beginning of Time
"If you're more than just a passer by in the fields of astronomy and cosmology and follow NASA, this won't bring anything new into your frame of reference. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Impersonal Report' 'Shift in Knowledge' 'Engagement with Film'],6,Seeing the Beginning of Time
They now moved the hospital that was damaged across town. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Positive'],['Impersonal Report' 'Not applicable' 'Not applicable'],6,SuperTornado: Anatomy of a Megadisaster
It's a good documentary and very very well done! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Birth of Planet Earth
 Everyone has a story that needs to get out and this documentary does a good job at that. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"More please! :::I'm editing to clarify, I wouldn't take 100% of what this doc says seriously, simply because they are in error about some things. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],6,The Jupiter Enigma
"I had to watch it a few times to better comprehend  everything , and didn't mind doing it. ",Positive,Engagement with Film,['Positive' 'Negative' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time
This has never happened before. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],6,Solar Superstorms: Journey to the Center of the Sun
I love anything to do with space ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",6,Solar Superstorms: Journey to the Center of the Sun
This is a relatively short film that addresses a big problem. ,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",6,Space Junk
"I am sorry, ...just ignore me. ",Negative,Not applicable,['Negative' 'Neutral' 'Negative'],['Not applicable' 'Not applicable' 'Not applicable'],6,The Jupiter Enigma
I watched this incredible video after work today and was awe struck and humbled the entire time. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",6,Seeing the Beginning of Time
Very informative without sounding like a doomsday show. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun
"Very interesting and informative, lots of details about how it formed. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],6,SuperTornado: Anatomy of a Megadisaster
"The film comes in at a very short 37 minutes, so you wouldn't want to pay to much for it. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],6,Space Junk
This is my true opinion after watching movie. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Not applicable'],6,SuperTornado: Anatomy of a Megadisaster
Good inside look at what makes a huge tornado and the people it effects. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"As with many of these types of documentaries they, in my opinion, waste valuable minutes on "" human interest stories"" instead of focusing strictly on the science. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"Conceptually at least, the impetus for the documentary is the knowledge that we have obtained about this planet due to the successful launch of the Juno satellite, in 2011. ",Neutral,Not applicable,['Neutral' 'Neutral' 'Positive'],['Impersonal Report' 'Not applicable' 'Not applicable'],6,The Jupiter Enigma
The good 3D makes it a good purchase. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk
omg so boring. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"And for a documentary, it's just downright irritating. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time
"Overall, I enjoyed learning of the anatomy of a megadisaster. ",Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Interest with Science Topic' 'Shift in Knowledge'],6,SuperTornado: Anatomy of a Megadisaster
No so good ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"Jupiter is a stunningly gorgeous planet, and it's amazing to finally learn some of its secrets. ",Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'],6,The Jupiter Enigma
Great one! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
 I was really disappointed. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Nice visuals. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun
"It's about a terrible disaster to a community, but also how they came back together. ",Positive,Shift in Knowledge,['Positive' 'Neutral' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Shift in Knowledge'],6,SuperTornado: Anatomy of a Megadisaster
Who knew there was so much crap floating around above the Earth. ,Negative,Shift in Knowledge,['Positive' 'Neutral' 'Negative'],['Shift in Knowledge' 'Not applicable' 'Shift in Knowledge'],6,Space Junk
Too much science stuff and not many good pictures of the actual event. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Lots of imaginative conjecture however. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",6,The Jupiter Enigma
Good for a nap ,Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
"Love this, and I'm going to watch it again for anything I've missed. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",6,Seeing the Beginning of Time
" I could listen to him say, ""it forms a metallic frost...like snowflakes in hell"" over and over again. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun
"Also, they used the same examples as older documentaries, so there is no new thought to contemplate, not even new narration sentences were changed from other space documentaries. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time
 Check it out. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk
"The AI Voiceover, I doubt it is really, still I cannot believe a person could sound so uninteresting. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma
"Love space docs, love this one! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",6,The Jupiter Enigma
Lovely sound and good narration with a strong script. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun
"For beginners of cosmology, I really recommend NOVA's series. ",Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Interest with Science Topic' 'Engagement with Film' 'Not applicable'],6,Seeing the Beginning of Time
"The good news is that when they send up about a dozen or so more ""probes"" they will think of new theories to ply their science. ",Negative,Interest with Science Topic,['Negative' 'Negative' 'Neutral'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Not applicable']",6,The Jupiter Enigma
One hail storm caused a lot of damage to my vehicle. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Negative'],['Impersonal Report' 'Not applicable' 'Not applicable'],6,SuperTornado: Anatomy of a Megadisaster
A narrator that is a  mush mouth deperssing music and distaster footage (80% of show) color pencil like compter animated tornados The gaul to run snippits of random tornados and run credits? ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
and it was a very interesting doco. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk
It was okay ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
I think the people who disliked the narrator either have a short attention span or just need something to whine about. ,Negative,Engagement with Film,['Neutral' 'Positive' 'Negative'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time
"Definately not an action movie, it's a documentary. ",Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
Great documentary with footage ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster
I had no problem hearing the speaker ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma
"A must-watch if you like astronmy, space, and anything educational! ",Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Engagement with Film']",6,The Jupiter Enigma
